('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         794025 function calls (770006 primitive calls) in 2.892 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    87066    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
70757/64417    0.006    0.000    0.008    0.000 {built-in method builtins.len}
58756/58748    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
    29619    0.006    0.000    0.009    0.000 sre_parse.py:165(__getitem__)
    26587    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
    25523    0.007    0.000    0.007    0.000 sre_parse.py:234(__next)
    20656    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    16702    0.004    0.000    0.008    0.000 sre_parse.py:255(get)
    15887    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    15794    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    15046    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
    14682    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    13973    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    12582    0.003    0.000    0.004    0.000 sre_parse.py:161(__len__)
    12252    0.003    0.000    0.005    0.000 sre_parse.py:250(match)
    11405    0.004    0.000    0.006    0.000 _markupbase.py:44(updatepos)
     9251    0.001    0.000    0.001    0.000 typing.py:1737(cast)
     9214    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     8579    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     8439    0.005    0.000    0.005    0.000 element.py:376(setup)
     8373    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     7466    0.002    0.000    0.002    0.000 sre_parse.py:173(append)
     6653    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
6539/6517    0.002    0.000    0.007    0.000 typing.py:306(inner)
     6456    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
     6197    0.002    0.000    0.002    0.000 sre_parse.py:112(__init__)
6176/6108    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     6057    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     5998    0.005    0.000    0.023    0.000 __init__.py:826(endData)
     5992    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     5848    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     5760    0.001    0.000    0.001    0.000 element.py:2227(__bool__)
     5724    0.001    0.000    0.001    0.000 element.py:2771(descendants)
     5699    0.002    0.000    0.007    0.000 filter.py:721(match)
 5522/191    0.017    0.000    0.033    0.000 sre_compile.py:87(_compile)
 5469/372    0.005    0.000    0.007    0.000 sre_parse.py:175(getwidth)
 4761/200    0.025    0.000    0.068    0.000 sre_parse.py:494(_parse)
     4309    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
     4245    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3820    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3715    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3225    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
     3205    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x5605bd2629a0}
     3012    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2938    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2891    0.002    0.000    0.005    0.000 filter.py:538(matches_tag)
     2870    0.003    0.000    0.022    0.000 _htmlparser.py:204(handle_endtag)
     2869    0.007    0.000    0.021    0.000 element.py:1626(__init__)
     2869    0.004    0.000    0.004    0.000 __init__.py:809(pushTag)
     2869    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     2869    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     2868    0.018    0.000    0.095    0.000 parser.py:300(parse_starttag)
