('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         793932 function calls (769947 primitive calls) in 9.208 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.089    5.089    5.089    5.089 {built-in method time.sleep}
      320    1.358    0.004    1.358    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      840    1.017    0.001    1.017    0.001 {built-in method posix.stat}
      163    0.286    0.002    0.286    0.002 {built-in method io.open_code}
        1    0.256    0.256    0.256    0.256 {built-in method _socket.getaddrinfo}
      225    0.183    0.001    0.569    0.003 {method 'read' of '_io.BufferedReader' objects}
      163    0.126    0.001    0.126    0.001 {method '__exit__' of '_io._IOBase' objects}
        1    0.109    0.109    0.109    0.109 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.089    0.089    0.089    0.089 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.080    0.080    0.080    0.080 {method 'connect' of '_socket.socket' objects}
       17    0.065    0.004    0.065    0.004 {built-in method posix.listdir}
 4761/200    0.030    0.000    0.083    0.000 sre_parse.py:494(_parse)
     2868    0.023    0.000    0.120    0.000 parser.py:300(parse_starttag)
      9/7    0.021    0.002    0.025    0.004 {built-in method _imp.create_dynamic}
      163    0.021    0.000    0.021    0.000 {built-in method marshal.loads}
    26587    0.018    0.000    0.018    0.000 {method 'match' of 're.Pattern' objects}
 5522/191    0.018    0.000    0.038    0.000 sre_compile.py:87(_compile)
        2    0.018    0.009    0.199    0.100 parser.py:133(goahead)
     3205    0.011    0.000    0.012    0.000 {built-in method __new__ of type object at 0x56258732e9a0}
       40    0.011    0.000    0.011    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2868    0.010    0.000    0.015    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2869    0.009    0.000    0.028    0.000 element.py:1626(__init__)
    25523    0.008    0.000    0.008    0.000 sre_parse.py:234(__next)
     2868    0.008    0.000    0.057    0.000 __init__.py:987(handle_starttag)
    29585    0.008    0.000    0.011    0.000 sre_parse.py:165(__getitem__)
      903    0.008    0.000    0.011    0.000 sre_compile.py:292(_optimize_charset)
    87032    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
  566/563    0.007    0.000    0.067    0.000 {built-in method builtins.__build_class__}
70700/64394    0.007    0.000    0.009    0.000 {built-in method builtins.len}
 5469/372    0.007    0.000    0.010    0.000 sre_parse.py:175(getwidth)
     2868    0.007    0.000    0.067    0.000 _htmlparser.py:142(handle_starttag)
58722/58714    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
 1272/192    0.007    0.000    0.084    0.000 sre_parse.py:436(_parse_sub)
     5998    0.007    0.000    0.034    0.000 __init__.py:826(endData)
     8439    0.006    0.000    0.006    0.000 element.py:376(setup)
     2692    0.006    0.000    0.043    0.000 parser.py:385(parse_endtag)
      412    0.005    0.000    0.725    0.002 <frozen importlib._bootstrap_external>:1536(find_spec)
    11405    0.005    0.000    0.008    0.000 _markupbase.py:44(updatepos)
     2867    0.005    0.000    0.009    0.000 __init__.py:950(_popToTag)
     2785    0.004    0.000    0.011    0.000 __init__.py:867(object_was_parsed)
     2869    0.004    0.000    0.005    0.000 __init__.py:809(pushTag)
    15046    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
    16702    0.004    0.000    0.009    0.000 sre_parse.py:255(get)
        9    0.004    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
     8579    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
        1    0.004    0.004    0.048    0.048 dammit.py:128(_populate_class_variables)
     2870    0.003    0.000    0.034    0.000 _htmlparser.py:204(handle_endtag)
     2868    0.003    0.000    0.004    0.000 __init__.py:786(popTag)
    12252    0.003    0.000    0.006    0.000 sre_parse.py:250(match)
     2785    0.003    0.000    0.005    0.000 __init__.py:732(string_container)
     1481    0.003    0.000    0.003    0.000 __init__.py:906(_linkage_fixer)
    20656    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    12548    0.003    0.000    0.004    0.000 sre_parse.py:161(__len__)
6539/6517    0.003    0.000    0.010    0.000 typing.py:306(inner)
     2785    0.003    0.000    0.012    0.000 element.py:1291(__new__)
     2286    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
     8373    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
    13973    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     2868    0.003    0.000    0.009    0.000 parser.py:351(check_for_whole_start_tag)
       71    0.002    0.000    0.014    0.000 filter.py:129(filter)
     2003    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
     7466    0.002    0.000    0.003    0.000 sre_parse.py:173(append)
    14682    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     2205    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      123    0.002    0.000    0.004    0.000 sre_compile.py:516(_get_charset_prefix)
     2891    0.002    0.000    0.006    0.000 filter.py:538(matches_tag)
     2205    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      163    0.002    0.000    0.874    0.005 <frozen importlib._bootstrap_external>:950(get_code)
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
     2867    0.002    0.000    0.031    0.000 __init__.py:1053(handle_endtag)
    15794    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
       19    0.002    0.000    0.402    0.021 {method 'join' of 'bytes' objects}
     6197    0.002    0.000    0.002    0.000 sre_parse.py:112(__init__)
      308    0.002    0.000    0.138    0.000 re.py:288(_compile)
     5699    0.002    0.000    0.009    0.000 filter.py:721(match)
      210    0.002    0.000    0.848    0.004 <frozen importlib._bootstrap>:921(_find_spec)
    15887    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
        1    0.002    0.002    0.002    0.002 models.py:909(text)
        6    0.002    0.000    0.002    0.000 {method 'write' of '_io.StringIO' objects}
      750    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
6176/6108    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getdefaulttimeout}
     2057    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
     6456    0.001    0.000    0.006    0.000 __init__.py:122(unescape)
      193    0.001    0.000    0.845    0.004 <frozen importlib._bootstrap_external>:1399(_get_spec)
       41    0.001    0.000    0.012    0.000 response.py:122(decompress)
     4309    0.001    0.000    0.002    0.000 sre_parse.py:287(tell)
       20    0.001    0.000    0.005    0.000 enum.py:180(__new__)
      341    0.001    0.000    0.005    0.000 css_parser.py:1108(selector_iter)
     2868    0.001    0.000    0.002    0.000 element.py:1820(is_empty_element)
      326    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      903    0.001    0.000    0.002    0.000 sre_compile.py:265(_compile_charset)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     2674    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
    213/4    0.001    0.000    2.081    0.520 <frozen importlib._bootstrap>:1022(_find_and_load)
     2319    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      163    0.001    0.000    0.596    0.004 <frozen importlib._bootstrap_external>:1070(get_data)
     6057    0.001    0.000    0.007    0.000 {built-in method builtins.next}
     5724    0.001    0.000    0.001    0.000 element.py:2771(descendants)
     2805    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
     1058    0.001    0.000    0.002    0.000 sre_parse.py:296(_class_escape)
      744    0.001    0.000    0.003    0.000 filter.py:616(_attribute_match)
      835    0.001    0.000    1.013    0.001 <frozen importlib._bootstrap_external>:140(_path_stat)
    56/16    0.001    0.000    0.016    0.001 css_parser.py:925(parse_selectors)
      191    0.001    0.000    0.010    0.000 sre_compile.py:560(_compile_info)
     9251    0.001    0.000    0.001    0.000 typing.py:1737(cast)
    189/4    0.001    0.000    2.055    0.514 <frozen importlib._bootstrap>:664(_load_unlocked)
     6653    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      189    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      254    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      191    0.001    0.000    0.135    0.001 sre_compile.py:783(compile)
      307    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
     9214    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
    212/4    0.001    0.000    2.081    0.520 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      804    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
     5992    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      172    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     2869    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     3715    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1363    0.001    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
     1122    0.001    0.000    0.002    0.000 typing.py:986(__setattr__)
     4245    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     5848    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      270    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
       17    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
     2869    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     2585    0.001    0.000    0.002    0.000 css_parser.py:317(match)
      943    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
     3225    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
       63    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      191    0.001    0.000    0.085    0.000 sre_parse.py:944(parse)
    164/1    0.001    0.000    9.208    9.208 {built-in method builtins.exec}
     1309    0.001    0.000    0.002    0.000 filter.py:627(_match_attribute_value_helper)
     2692    0.001    0.000    0.001    0.000 parser.py:126(clear_cdata_mode)
     2868    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      163    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      328    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
